tloans_gr,tmort_gr,money_gr,ca_gr,tloans_rgdp_gr,cpi,rgdpmad,net_sentiment_dm,P_pos_dm,P_neg_dm,net_sentiment_lag1_dm,P_pos_lag1_dm,P_neg_lag1_dm
0.28792512,-0.34169972,-0.084180124,-0.44154128,-1.2839434,-0.3441797,-0.24388142,-0.03973167,-0.63046664,-1.6407628,0.10803091,-0.6160439,-0.930399
0.25112054,0.12549324,0.1434771,-0.9755258,1.0409849,-0.21237467,0.14835134,-0.12569231,-1.0039032,-1.412865,-0.45563924,-0.76072294,-0.43478858
0.35067275,0.11440353,0.0056132455,-1.143116,1.0418262,-0.17695446,-0.8014128,-0.04985106,0.6912003,-2.1163492,-0.10413325,-0.35104698,-0.5805677
0.42731008,0.13522394,-1.12053,-0.7174496,0.81535727,0.5180456,0.22462739,-0.42502195,-0.8378964,0.3622388,-0.915942,-0.8680295,0.013020586
-2.0936444,0.8104091,0.076300405,-0.22941117,-0.9333381,0.7814721,-0.14307478,-0.07319392,-0.67544067,0.06300748,-1.0149685,-1.3448628,-0.20685418
0.43608317,-2.8760355,-0.109517895,-0.83008635,-0.74213445,0.68414116,0.30780452,-0.08687558,-1.0224651,0.19689062,-0.6505999,-0.62354547,-0.21071489
0.25564873,-3.4091542,-0.021154689,-0.5756771,0.64546233,0.7520144,-0.4601752,-0.030826356,-0.9196698,-0.0128100235,-0.9499973,-0.37530047,-0.3681887
0.4250026,-2.75589,-0.12702985,-0.96214557,-0.740744,-0.74866736,-0.63444984,-0.09306758,0.4547192,-0.0553789,0.11027713,-0.5173292,-0.32773483
0.6237158,0.4395931,-0.037160598,-0.51527256,-1.3188806,-0.81014895,-0.7696873,-0.0021820748,-1.0060626,0.12499771,-1.0053284,-0.8469985,-0.26434946
0.49375644,0.5673486,-0.06541081,-0.50884104,-0.68852454,-0.67179686,-0.91950047,-0.09343653,-0.91654146,-1.8458806,0.3276388,0.74176824,0.22069308
0.44029915,-3.5173702,-0.10193328,-0.971428,0.7037802,-0.82464623,-0.73891234,-0.1401337,0.111249685,0.06934428,-0.030796409,-0.3162271,0.23059973
0.27826297,-0.28631565,0.12228804,-0.6347984,-1.3916057,-0.76256484,-0.74400663,0.040913574,-0.7965861,0.20112336,-0.97683775,-0.7108897,-0.23885633
0.4519383,0.3341316,-0.093685664,-0.46976325,-1.2750307,-0.56438786,-0.8664007,-0.026369194,0.10759174,-1.3473723,-0.87207705,-1.2118953,-0.33942917
0.44855168,-0.048831217,-0.09255436,-0.55124545,-1.2966245,-0.62762827,-0.85898983,-0.054394122,-0.60699135,-1.2634186,-0.026221506,-0.62369883,-0.7824178
0.17529066,-0.11993746,0.12154575,-0.5274083,-1.3404408,-0.5836327,-0.6648249,-0.1327958,-0.8875051,0.27826482,0.0005122989,-1.3046185,-1.4169593
-0.14857997,-2.4736505,-0.50549287,-0.62908906,0.44933972,-0.70526576,-0.58533686,0.037877697,-0.5487115,0.13556884,-0.88842446,-0.67446536,-0.08397076
-0.022620307,0.24132285,-0.3894202,-0.786708,-0.952171,-1.04072,-0.3706001,-0.06703832,-0.9165238,-0.78648055,-0.41621152,-1.2456602,-0.36467314
-1.2404652,0.1641638,-0.35937637,-0.60169077,-1.2363248,-0.90935266,-0.2934287,-0.06565744,-0.7732504,-0.7359372,-0.07456075,-0.69356275,-0.667314
-1.3871652,-0.19983327,-0.11619615,-0.6322848,-1.3795685,-0.807448,-0.25182885,-0.1756436,-0.61592215,0.26246372,-0.62018454,-1.023913,-0.6067429
-1.987607,-0.09578763,-0.4732742,-0.35957593,-1.3557662,-0.9304024,-0.24842404,-0.012590947,-0.7721012,0.13104336,-1.0087391,-0.53087175,-0.21375532
-1.2043414,-0.33447802,-0.08249075,-0.7740189,-1.3472862,-0.742034,-0.29050618,-0.056289047,-0.74115914,-0.8729837,-0.5104364,-0.7250855,-0.3132575
-0.03148896,-0.14410797,-0.3423365,-0.95708454,-1.3287156,-1.1536591,-0.39690918,0.04937348,-1.0147885,-1.0898316,-0.5315408,-0.8362164,0.18314767
0.12344855,-0.3834358,-0.05257135,-0.5847034,-1.7062984,-1.3919902,-0.22386363,-0.1165723,-1.1448238,0.12308623,0.281088,0.09842623,0.2652967
